	GFP-1	GFP-2	GFP-3	GFP-4	GFP-5	GFP-7	GFP-8	GFP-10
JUN	8.7920043928606	8.91250664442326	8.872716800075	8.99719895288062	8.60583469856206	8.57644091656391	8.76123520963433	8.52938560659126
LINC01358	0	0	0.717153225297494	0	0	0	0	0
FGGY	1.71413647311658	1.53490309077293	1.19586001960211	1.07785944562828	1.51469439488053	1.79165510689994	1.09141335953949	1.60187677957185
LOC101926944	0	0.369964333876915	0.654819772230028	0	0	0	0	0
HOOK1	2.88648356541549	2.77058772404996	2.38413802100856	2.83012393454962	3.36315435238094	2.73070354766036	2.74560363783076	3.3083980902052
CYP2J2	5.1938127259714	5.07670850007207	4.9565996689361	5.4007802945074	5.35865752199278	5.39058090256735	5.488644146196	5.47664815737006
NFIA-AS2	0.440032555242771	1.00632935943013	0.75376205220523	1.0184083925245	0.52165691615127	1.16346804411092	0.6542635006825	1.11672880634427
NFIA	1.49147397261823	1.18784839059933	1.32069094418055	1.4042629391107	1.84530095492732	1.26784338402321	1.49667193146947	2.05529624505084
TM2D1	6.03015838896873	6.06205454690587	5.97989916770845	6.31803318553739	6.40244373410868	6.31851344567932	6.37353759092621	6.50574207438458
INADL	4.49103674442573	4.47477353008884	4.21034300270505	4.65329867227711	4.59625598587976	4.21552113617253	4.27984031758267	4.6318770639131
L1TD1	1.8744891799476	2.33962819522716	2.31924282233368	2.55595901787509	2.32062778283386	2.70678795891888	2.36962260601454	2.50906058147402
KANK4	1.24661842235171	1.90053767534411	1.59513002103449	1.44729436615658	1.53520557478136	2.23340488075973	1.71905679798019	1.75751494240166
USP1	4.51080137821763	4.53876679690473	4.48911847035768	4.34697566365607	5.70096613459166	4.57965956182214	4.34636478527337	5.51678647355089
DOCK7	4.74368770004906	4.73903471515664	4.59060088965867	4.76692716618005	5.10651428768013	4.72836923192604	4.72694563793449	4.95854215401383
ANGPTL3	0	0	0	0	0.0823211739699832	0.128108422989633	0	0
ATG4C	2.76150250421406	2.85454324642131	2.78682266252199	3.13119943566813	3.46609421520938	2.97097821550273	2.97880154923766	3.34322103965676
LINC00466	0	0	0	0	0	0	0	0
FOXD3	0.631167358810594	0.533872995891584	0.526049483317809	0.442256164967384	1.91270837490358	0.946780187076294	0.7736380958105	1.49094975827945
ALG6	3.11428632208565	3.25039184167419	2.47081077097253	2.8623386931738	3.07956257108721	2.9761852688173	2.84618388540878	3.27154763511765
ITGB3BP	4.39408739774393	4.70420838427291	4.26169086628956	4.31648659379945	4.82067119472273	4.66393705183272	4.48227313893249	4.80224125432361
EFCAB7	2.91641289451103	2.62397437844828	3.30213181390537	3.2213435713394	2.94088861590364	3.10471534040329	2.9954490182951	3.15868183810883
DLEU2L	0.3298178057979	1.08254600308181	0.450036986160827	0.741194017550195	1.57867279466992	1.21599843395912	0.988393901723127	1.89818232504092
PGM1	5.44929652935445	5.61233339468859	5.4222449351034	5.19460394556864	5.66290162405312	5.6901282475867	5.43969999237563	5.65669669676408
ROR1	2.24305138895697	2.60218465599514	1.88726198123897	2.16952517422801	2.52898951501416	2.43806864088082	2.10403246432492	2.27223582437881
ROR1-AS1	1.07655656806962	1.40783228361109	1.09863587321409	1.19451399727122	1.2043835248095	1.5182409840236	1.30061719456285	1.23009556617788
UBE2U	0	0	0	0.218172243456735	0	0	0	0
CACHD1	4.49139874013422	4.46408321993325	4.43596934045083	4.92257432649795	4.72950735122813	4.75239017616446	4.78913244018244	4.55158401344276
RAVER2	3.28072055800065	2.93616402234787	3.05352992472577	3.35451599417521	4.05102323884257	3.20165708375992	3.24023190054572	4.00903756657034
JAK1	7.18801894749223	7.13380307212166	7.04109898046456	7.10943459312113	7.09556875916441	7.31241031165717	7.07410206784997	7.14878021095069
LINC01359	0	0.36299133610653	0.3573689705809	0	0.214865652452889	0.172465845794782	0	0.564311787783873
MIR3671	1.38523886965936	0	0	1.63576561388742	1.57003729264205	2.04053171142952	0	0
AK4	4.26892039280905	4.29624053067454	4.23076855861928	3.86056097632941	4.309225075955	4.06504859169985	3.93596232779194	4.19920749161744
